"Title","Artist","Rank","Chart Date","Imprint"
"2 Legit 2 Quit","M.C. Hammer",6,"1992-01-18","Capitol"
"Wildside","Marky Mark & The Funky Bunch",8,"1992-01-18","Interscope"
"Just Kickin' It","M.C. Breed & D.F.C.",17,"1992-01-18","S.D.E.G."
"Poor Georgie","MC Lyte",19,"1992-01-18","First Priority"
"2 Legit 2 Quit","M.C. Hammer",4,"1992-01-25","Capitol"
"Wildside","Marky Mark & The Funky Bunch",14,"1992-01-25","Interscope"
"Poor Georgie","MC Lyte",15,"1992-01-25","First Priority"
"Just Kickin' It","M.C. Breed & D.F.C.",19,"1992-01-25","S.D.E.G."
"Oochie Coochie","M.C. Brains",22,"1992-01-25","Motown"
"Poor Georgie","MC Lyte",10,"1992-02-01","First Priority"
"2 Legit 2 Quit","M.C. Hammer",11,"1992-02-01","Capitol"
"Wildside","Marky Mark & The Funky Bunch",14,"1992-02-01","Interscope"
"Oochie Coochie","M.C. Brains",17,"1992-02-01","Motown"
"Just Kickin' It","M.C. Breed & D.F.C.",20,"1992-02-01","S.D.E.G."
"Poor Georgie","MC Lyte",5,"1992-02-08","First Priority"
"Oochie Coochie","M.C. Brains",9,"1992-02-08","Motown"
"2 Legit 2 Quit","M.C. Hammer",13,"1992-02-08","Capitol"
"Just Kickin' It","M.C. Breed & D.F.C.",14,"1992-02-08","S.D.E.G."
"Wildside","Marky Mark & The Funky Bunch",30,"1992-02-08","Interscope"
"Poor Georgie","MC Lyte",4,"1992-02-15","First Priority"
"Oochie Coochie","M.C. Brains",6,"1992-02-15","Motown"
"Just Kickin' It","M.C. Breed & D.F.C.",10,"1992-02-15","S.D.E.G."
"2 Legit 2 Quit","M.C. Hammer",29,"1992-02-15","Capitol"
"Poor Georgie","MC Lyte",3,"1992-02-22","First Priority"
"Oochie Coochie","M.C. Brains",4,"1992-02-22","Motown"
"Just Kickin' It","M.C. Breed & D.F.C.",11,"1992-02-22","S.D.E.G."
"2 Legit 2 Quit","M.C. Hammer",30,"1992-02-22","Capitol"
"Poor Georgie","MC Lyte",2,"1992-02-29","First Priority"
"Oochie Coochie","M.C. Brains",3,"1992-02-29","Motown"
"Just Kickin' It","M.C. Breed & D.F.C.",10,"1992-02-29","S.D.E.G."
"Poor Georgie","MC Lyte",1,"1992-03-07","First Priority"
"Oochie Coochie","M.C. Brains",2,"1992-03-07","Motown"
"Just Kickin' It","M.C. Breed & D.F.C.",18,"1992-03-07","S.D.E.G."
"Oochie Coochie","M.C. Brains",1,"1992-03-14","Motown"
"Poor Georgie","MC Lyte",2,"1992-03-14","First Priority"
"Just Kickin' It","M.C. Breed & D.F.C.",23,"1992-03-14","S.D.E.G."
"Oochie Coochie","M.C. Brains",1,"1992-03-21","Motown"
"Poor Georgie","MC Lyte",3,"1992-03-21","First Priority"
"Oochie Coochie","M.C. Brains",2,"1992-03-28","Motown"
"Poor Georgie","MC Lyte",9,"1992-03-28","First Priority"
"Oochie Coochie","M.C. Brains",5,"1992-04-04","Motown"
"Poor Georgie","MC Lyte",15,"1992-04-04","First Priority"
"Oochie Coochie","M.C. Brains",11,"1992-04-11","Motown"
"Poor Georgie","MC Lyte",18,"1992-04-11","First Priority"
"Oochie Coochie","M.C. Brains",15,"1992-04-18","Motown"
"Poor Georgie","MC Lyte",21,"1992-04-18","First Priority"
"Oochie Coochie","M.C. Brains",23,"1992-04-25","Motown"
"Poor Georgie","MC Lyte",28,"1992-04-25","First Priority"
"Oochie Coochie","M.C. Brains",30,"1992-05-02","Motown"
"Everybody's Talking About M.C. Brains","M.C. Brains",30,"1992-05-09","Motown"
"Everybody's Talking About M.C. Brains","M.C. Brains",30,"1992-05-16","Motown"
"Everybody's Talking About M.C. Brains","M.C. Brains",28,"1992-05-23","Motown"
"Everybody's Talking About M.C. Brains","M.C. Brains",30,"1992-05-30","Motown"
"Everybody's Talking About M.C. Brains","M.C. Brains",24,"1992-06-06","Motown"
"Everybody's Talking About M.C. Brains","M.C. Brains",23,"1992-06-13","Motown"
"Everybody's Talking About M.C. Brains","M.C. Brains",23,"1992-06-20","Motown"
"Ain't To Be F...ed With","M.C. Breed",27,"1992-06-20","Wrap"
"Everybody's Talking About M.C. Brains","M.C. Brains",24,"1992-06-27","Motown"
"Ain't To Be F...ed With","M.C. Breed",25,"1992-06-27","Wrap"
"Ain't To Be F...ed With","M.C. Breed",22,"1992-07-04","Wrap"
"Fakin' The Funk","Main Source",29,"1992-07-04","Wild Pitch"
"Ain't To Be F...ed With","M.C. Breed",17,"1992-07-11","Wrap"
"Fakin' The Funk","Main Source",22,"1992-07-11","Wild Pitch"
"Ain't To Be F...ed With","M.C. Breed",17,"1992-07-18","Wrap"
"Fakin' The Funk","Main Source",23,"1992-07-18","Wild Pitch"
"Fakin' The Funk","Main Source",13,"1992-07-25","Wild Pitch"
"Ain't To Be F...ed With","M.C. Breed",14,"1992-07-25","Wrap"
"Fakin' The Funk","Main Source",9,"1992-08-01","Wild Pitch"
"Ain't To Be F...ed With","M.C. Breed",16,"1992-08-01","Wrap"
"Fakin' The Funk","Main Source",4,"1992-08-08","Wild Pitch"
"Ain't To Be F...ed With","M.C. Breed",20,"1992-08-08","Wrap"
"Fakin' The Funk","Main Source",3,"1992-08-15","Wild Pitch"
"Brainstorming/G-String","M.C. Brains",27,"1992-08-15","Motown"
"Fakin' The Funk","Main Source",1,"1992-08-22","Wild Pitch"
"Brainstorming/G-String","M.C. Brains",27,"1992-08-22","Motown"
"Fakin' The Funk","Main Source",2,"1992-08-29","Wild Pitch"
"Brainstorming/G-String","M.C. Brains",24,"1992-08-29","Motown"
"Here It Comes/Back To The Grill","MC Serch",27,"1992-08-29","Def Jam"
"Fakin' The Funk","Main Source",2,"1992-09-05","Wild Pitch"
"Brainstorming/G-String","M.C. Brains",20,"1992-09-05","Motown"
"Here It Comes/Back To The Grill","MC Serch",21,"1992-09-05","Def Jam"
"Fakin' The Funk","Main Source",8,"1992-09-12","Wild Pitch"
"Here It Comes/Back To The Grill","MC Serch",16,"1992-09-12","Def Jam"
"Brainstorming/G-String","M.C. Brains",23,"1992-09-12","Motown"
"Here It Comes/Back To The Grill","MC Serch",11,"1992-09-19","Def Jam"
"Fakin' The Funk","Main Source",16,"1992-09-19","Wild Pitch"
"Brainstorming/G-String","M.C. Brains",19,"1992-09-19","Motown"
"Ain't Too Much Worried","M.C. Breed",25,"1992-09-19","Wrap"
"Here It Comes/Back To The Grill","MC Serch",6,"1992-09-26","Def Jam"
"Brainstorming/G-String","M.C. Brains",22,"1992-09-26","Motown"
"Ain't Too Much Worried","M.C. Breed",23,"1992-09-26","Wrap"
"Fakin' The Funk","Main Source",25,"1992-09-26","Wild Pitch"
"The Final Frontier","MC Ren",29,"1992-09-26","Priority"
"Here It Comes/Back To The Grill","MC Serch",4,"1992-10-03","Def Jam"
"Ain't Too Much Worried","M.C. Breed",16,"1992-10-03","Wrap"
"Brainstorming/G-String","M.C. Brains",22,"1992-10-03","Motown"
"The Final Frontier","MC Ren",24,"1992-10-03","Priority"
"Here It Comes/Back To The Grill","MC Serch",4,"1992-10-10","Def Jam"
"Ain't Too Much Worried","M.C. Breed",12,"1992-10-10","Wrap"
"The Final Frontier","MC Ren",20,"1992-10-10","Priority"
"Here It Comes/Back To The Grill","MC Serch",3,"1992-10-17","Def Jam"
"Ain't Too Much Worried","M.C. Breed",13,"1992-10-17","Wrap"
"The Final Frontier","MC Ren",17,"1992-10-17","Priority"
"Here It Comes/Back To The Grill","MC Serch",1,"1992-10-24","Def Jam"
"Ain't Too Much Worried","M.C. Breed",13,"1992-10-24","Wrap"
"The Final Frontier","MC Ren",18,"1992-10-24","Priority"
"Here It Comes/Back To The Grill","MC Serch",2,"1992-10-31","Def Jam"
"Ain't Too Much Worried","M.C. Breed",17,"1992-10-31","Wrap"
"The Final Frontier","MC Ren",21,"1992-10-31","Priority"
"Flex","Mad Cobra",28,"1992-10-31","Columbia"
"Here It Comes/Back To The Grill","MC Serch",6,"1992-11-07","Def Jam"
"Ain't Too Much Worried","M.C. Breed",23,"1992-11-07","Wrap"
"Flex","Mad Cobra",24,"1992-11-07","Columbia"
"The Final Frontier","MC Ren",27,"1992-11-07","Priority"
"Here It Comes/Back To The Grill","MC Serch",15,"1992-11-14","Def Jam"
"Flex","Mad Cobra",18,"1992-11-14","Columbia"
"Ain't Too Much Worried","M.C. Breed",30,"1992-11-14","Wrap"
"Flex","Mad Cobra",6,"1992-11-21","Columbia"
"Here It Comes/Back To The Grill","MC Serch",21,"1992-11-21","Def Jam"
"Flex","Mad Cobra",5,"1992-11-28","Columbia"
"Here It Comes/Back To The Grill","MC Serch",27,"1992-11-28","Def Jam"
"Flex","Mad Cobra",4,"1992-12-05","Columbia"
"Flex","Mad Cobra",3,"1992-12-12","Columbia"
"Ice Cream Dream","MC Lyte",29,"1992-12-12","Perspective"
"Flex","Mad Cobra",2,"1992-12-19","Columbia"
"Ice Cream Dream","MC Lyte",18,"1992-12-19","Perspective"
"Flex","Mad Cobra",1,"1992-12-26","Columbia"
"Ice Cream Dream","MC Lyte",14,"1992-12-26","Perspective"
"Flex","Mad Cobra",1,"1993-01-02","Columbia"
"Ice Cream Dream","MC Lyte",14,"1993-01-02","Perspective"
"Flex","Mad Cobra",2,"1993-01-09","Columbia"
"Ice Cream Dream","MC Lyte",11,"1993-01-09","Perspective"
"Flex","Mad Cobra",4,"1993-01-16","Columbia"
"Ice Cream Dream","MC Lyte",11,"1993-01-16","Perspective"
"Flex","Mad Cobra",9,"1993-01-23","Columbia"
"Ice Cream Dream","MC Lyte",12,"1993-01-23","Perspective"
"Flex","Mad Cobra",19,"1993-01-30","Columbia"
"Ice Cream Dream","MC Lyte",22,"1993-01-30","Perspective"
"Flex","Mad Cobra",21,"1993-02-06","Columbia"
"Ruffneck","MC Lyte",27,"1993-07-03","First Priority"
"Ruffneck","MC Lyte",16,"1993-07-10","First Priority"
"Ruffneck","MC Lyte",9,"1993-07-17","First Priority"
"Ruffneck","MC Lyte",7,"1993-07-24","First Priority"
"Gotta Get Mine","M.C. Breed",28,"1993-07-24","Wrap"
"Ruffneck","MC Lyte",4,"1993-07-31","First Priority"
"Gotta Get Mine","M.C. Breed",23,"1993-07-31","Wrap"
"Ruffneck","MC Lyte",3,"1993-08-07","First Priority"
"Gotta Get Mine","M.C. Breed",15,"1993-08-07","Wrap"
"Ruffneck","MC Lyte",3,"1993-08-14","First Priority"
"Gotta Get Mine","M.C. Breed",14,"1993-08-14","Wrap"
"Ruffneck","MC Lyte",2,"1993-08-21","First Priority"
"Gotta Get Mine","M.C. Breed",12,"1993-08-21","Wrap"
"Ruffneck","MC Lyte",1,"1993-08-28","First Priority"
"Gotta Get Mine","M.C. Breed",10,"1993-08-28","Wrap"
"Streiht Up Menace","MC Eiht",30,"1993-08-28","Jive"
"Ruffneck","MC Lyte",4,"1993-09-04","First Priority"
"Gotta Get Mine","M.C. Breed",9,"1993-09-04","Wrap"
"Ruffneck","MC Lyte",7,"1993-09-11","First Priority"
"Gotta Get Mine","M.C. Breed",8,"1993-09-11","Wrap"
"Gotta Get Mine","M.C. Breed",6,"1993-09-18","Wrap"
"Ruffneck","MC Lyte",12,"1993-09-18","First Priority"
"Gotta Get Mine","M.C. Breed",6,"1993-09-25","Wrap"
"Ruffneck","MC Lyte",12,"1993-09-25","First Priority"
"Gotta Get Mine","M.C. Breed",8,"1993-10-02","Wrap"
"Ruffneck","MC Lyte",15,"1993-10-02","First Priority"
"Gotta Get Mine","M.C. Breed",10,"1993-10-09","Wrap"
"Ruffneck","MC Lyte",19,"1993-10-09","First Priority"
"Gotta Get Mine","M.C. Breed",18,"1993-10-16","Wrap"
"Ruffneck","MC Lyte",28,"1993-10-16","First Priority"
"Tight","M.C. Breed",19,"1993-11-27","Wrap"
"Same Ol' Shit","MC Ren",11,"1993-12-04","Ruthless"
"Ruffneck","MC Lyte",15,"1993-12-04","First Priority"
"Gotta Get Mine","M.C. Breed",50,"1993-12-04","Wrap"
"Same Ol' Shit","MC Ren",12,"1993-12-11","Ruthless"
"Ruffneck","MC Lyte",20,"1993-12-11","First Priority"
"Same Ol' Shit","MC Ren",13,"1993-12-18","Ruthless"
"Ruffneck","MC Lyte",23,"1993-12-18","First Priority"
"Gotta Get Mine","M.C. Breed",48,"1993-12-18","Wrap"
"Same Ol' Shit","MC Ren",15,"1993-12-25","Ruthless"
"Ruffneck","MC Lyte",23,"1993-12-25","First Priority"
"Same Ol' Shit","MC Ren",16,"1994-01-01","Ruthless"
"Ruffneck","MC Lyte",21,"1994-01-01","First Priority"
"I Go On","MC Lyte",49,"1994-01-01","First Priority"
"Same Ol' Shit","MC Ren",17,"1994-01-08","Ruthless"
"Ruffneck","MC Lyte",23,"1994-01-08","First Priority"
"Same Ol' Shit","MC Ren",19,"1994-01-15","Ruthless"
"Ruffneck","MC Lyte",30,"1994-01-15","First Priority"
"Same Ol' Shit","MC Ren",20,"1994-01-22","Ruthless"
"Ruffneck","MC Lyte",33,"1994-01-22","First Priority"
"What You Need","Main Source",48,"1994-01-22","Wild Pitch"
"True To The Game","M.C. Shy-D",49,"1994-01-22","Wrap"
"Same Ol' Shit","MC Ren",22,"1994-01-29","Ruthless"
"I Go On","MC Lyte",33,"1994-01-29","First Priority"
"Ruffneck","MC Lyte",39,"1994-01-29","First Priority"
"Same Ol' Shit","MC Ren",21,"1994-02-05","Ruthless"
"I Go On","MC Lyte",28,"1994-02-05","First Priority"
"Ruffneck","MC Lyte",40,"1994-02-05","First Priority"
"Born To Roll","Masta Ace Incorporated",41,"1994-02-05","Delicious Vinyl"
"What You Need","Main Source",50,"1994-02-05","Wild Pitch"
"It's All Good","M.C. Hammer",5,"1994-02-12","Giant"
"Same Ol' Shit","MC Ren",25,"1994-02-12","Ruthless"
"Pumps And A Bump","M.C. Hammer",26,"1994-02-12","Giant"
"I Go On","MC Lyte",27,"1994-02-12","First Priority"
"Born To Roll","Masta Ace Incorporated",38,"1994-02-12","Delicious Vinyl"
"If That's Your Boyfriend","MeShell Ndegeocello",45,"1994-02-12","Maverick"
"Ruffneck","MC Lyte",49,"1994-02-12","First Priority"
"It's All Good","M.C. Hammer",3,"1994-02-19","Giant"
"I Go On","MC Lyte",32,"1994-02-19","First Priority"
"Same Ol' Shit","MC Ren",33,"1994-02-19","Ruthless"
"Born To Roll","Masta Ace Incorporated",39,"1994-02-19","Delicious Vinyl"
"If That's Your Boyfriend","MeShell Ndegeocello",46,"1994-02-19","Maverick"
"Sound Boy Killing","Mega Banton",49,"1994-02-19","VP"
"It's All Good","M.C. Hammer",4,"1994-02-26","Giant"
"I Go On","MC Lyte",30,"1994-02-26","First Priority"
"Same Ol' Shit","MC Ren",34,"1994-02-26","Ruthless"
"If That's Your Boyfriend","MeShell Ndegeocello",36,"1994-02-26","Maverick"
"Born To Roll","Masta Ace Incorporated",45,"1994-02-26","Delicious Vinyl"
"It's All Good","M.C. Hammer",3,"1994-03-05","Giant"
"If That's Your Boyfriend","MeShell Ndegeocello",33,"1994-03-05","Maverick"
"Born To Roll","Masta Ace Incorporated",35,"1994-03-05","Delicious Vinyl"
"Same Ol' Shit","MC Ren",41,"1994-03-05","Ruthless"
"I Go On","MC Lyte",43,"1994-03-05","First Priority"
"True To The Game","M.C. Shy-D",48,"1994-03-05","Wrap"
"It's All Good","M.C. Hammer",3,"1994-03-12","Giant"
"Born To Roll","Masta Ace Incorporated",22,"1994-03-12","Delicious Vinyl"
"If That's Your Boyfriend","MeShell Ndegeocello",23,"1994-03-12","Maverick"
"I Go On","MC Lyte",50,"1994-03-12","First Priority"
"It's All Good","M.C. Hammer",5,"1994-03-19","Giant"
"Pumps And A Bump","M.C. Hammer",17,"1994-03-19","Giant"
"Born To Roll","Masta Ace Incorporated",19,"1994-03-19","Delicious Vinyl"
"If That's Your Boyfriend","MeShell Ndegeocello",26,"1994-03-19","Maverick"
"Sound Boy Killing","Mega Banton",42,"1994-03-19","VP"
"It's All Good","M.C. Hammer",7,"1994-03-26","Giant"
"Pumps And A Bump","M.C. Hammer",9,"1994-03-26","Giant"
"Born To Roll","Masta Ace Incorporated",10,"1994-03-26","Delicious Vinyl"
"If That's Your Boyfriend","MeShell Ndegeocello",21,"1994-03-26","Maverick"
"Born To Roll","Masta Ace Incorporated",5,"1994-04-02","Delicious Vinyl"
"Pumps And A Bump","M.C. Hammer",9,"1994-04-02","Giant"
"It's All Good","M.C. Hammer",12,"1994-04-02","Giant"
"If That's Your Boyfriend","MeShell Ndegeocello",23,"1994-04-02","Maverick"
"How About Some Hardcore","M.O.P.",37,"1994-04-02","Select Street"
"Sound Boy Killing","Mega Banton",47,"1994-04-02","VP"
"Born To Roll","Masta Ace Incorporated",5,"1994-04-09","Delicious Vinyl"
"Pumps And A Bump","M.C. Hammer",11,"1994-04-09","Giant"
"It's All Good","M.C. Hammer",12,"1994-04-09","Giant"
"If That's Your Boyfriend","MeShell Ndegeocello",25,"1994-04-09","Maverick"
"How About Some Hardcore","M.O.P.",45,"1994-04-09","Select Street"
"Sound Boy Killing","Mega Banton",50,"1994-04-09","VP"
"Born To Roll","Masta Ace Incorporated",6,"1994-04-16","Delicious Vinyl"
"Pumps And A Bump","M.C. Hammer",8,"1994-04-16","Giant"
"It's All Good","M.C. Hammer",14,"1994-04-16","Giant"
"If That's Your Boyfriend","MeShell Ndegeocello",26,"1994-04-16","Maverick"
"How About Some Hardcore","M.O.P.",48,"1994-04-16","Select Street"
"Sound Boy Killing","Mega Banton",50,"1994-04-16","VP"
"Born To Roll","Masta Ace Incorporated",5,"1994-04-23","Delicious Vinyl"
"Pumps And A Bump","M.C. Hammer",7,"1994-04-23","Giant"
"It's All Good","M.C. Hammer",16,"1994-04-23","Giant"
"If That's Your Boyfriend","MeShell Ndegeocello",31,"1994-04-23","Maverick"
"How About Some Hardcore","M.O.P.",46,"1994-04-23","Select Street"
"Sound Boy Killing","Mega Banton",48,"1994-04-23","VP"
"Pumps And A Bump","M.C. Hammer",4,"1994-04-30","Giant"
"Born To Roll","Masta Ace Incorporated",5,"1994-04-30","Delicious Vinyl"
"It's All Good","M.C. Hammer",16,"1994-04-30","Giant"
"If That's Your Boyfriend","MeShell Ndegeocello",29,"1994-04-30","Maverick"
"How About Some Hardcore","M.O.P.",38,"1994-04-30","Select Street"
"Sound Boy Killing","Mega Banton",49,"1994-04-30","VP"
"Born To Roll","Masta Ace Incorporated",5,"1994-05-07","Delicious Vinyl"
"Pumps And A Bump","M.C. Hammer",6,"1994-05-07","Giant"
"It's All Good","M.C. Hammer",17,"1994-05-07","Giant"
"If That's Your Boyfriend","MeShell Ndegeocello",33,"1994-05-07","Maverick"
"How About Some Hardcore","M.O.P.",36,"1994-05-07","Select Street"
"Pumps And A Bump","M.C. Hammer",3,"1994-05-14","Giant"
"Born To Roll","Masta Ace Incorporated",7,"1994-05-14","Delicious Vinyl"
"It's All Good","M.C. Hammer",15,"1994-05-14","Giant"
"If That's Your Boyfriend","MeShell Ndegeocello",37,"1994-05-14","Maverick"
"How About Some Hardcore","M.O.P.",44,"1994-05-14","Select Street"
"Pumps And A Bump","M.C. Hammer",5,"1994-05-21","Giant"
"Born To Roll","Masta Ace Incorporated",7,"1994-05-21","Delicious Vinyl"
"It's All Good","M.C. Hammer",20,"1994-05-21","Giant"
"How About Some Hardcore","M.O.P.",40,"1994-05-21","Select Street"
"If That's Your Boyfriend","MeShell Ndegeocello",44,"1994-05-21","Maverick"
"Pumps And A Bump","M.C. Hammer",4,"1994-05-28","Giant"
"Born To Roll","Masta Ace Incorporated",7,"1994-05-28","Delicious Vinyl"
"It's All Good","M.C. Hammer",25,"1994-05-28","Giant"
"Pumps And A Bump","M.C. Hammer",4,"1994-06-04","Giant"
"Born To Roll","Masta Ace Incorporated",13,"1994-06-04","Delicious Vinyl"
"It's All Good","M.C. Hammer",26,"1994-06-04","Giant"
"Pumps And A Bump","M.C. Hammer",5,"1994-06-11","Giant"
"Born To Roll","Masta Ace Incorporated",14,"1994-06-11","Delicious Vinyl"
"It's All Good","M.C. Hammer",29,"1994-06-11","Giant"
"Late Nite Creep (Booty Call)","M.C. Breed",45,"1994-06-11","Wrap"
"Pumps And A Bump","M.C. Hammer",5,"1994-06-18","Giant"
"Born To Roll","Masta Ace Incorporated",15,"1994-06-18","Delicious Vinyl"
"It's All Good","M.C. Hammer",29,"1994-06-18","Giant"
"Late Nite Creep (Booty Call)","M.C. Breed",46,"1994-06-18","Wrap"
"Pumps And A Bump","M.C. Hammer",7,"1994-06-25","Giant"
"Born To Roll","Masta Ace Incorporated",14,"1994-06-25","Delicious Vinyl"
"It's All Good","M.C. Hammer",39,"1994-06-25","Giant"
"Late Nite Creep (Booty Call)","M.C. Breed",47,"1994-06-25","Wrap"
"Pumps And A Bump","M.C. Hammer",10,"1994-07-02","Giant"
"Born To Roll","Masta Ace Incorporated",18,"1994-07-02","Delicious Vinyl"
"It's All Good","M.C. Hammer",42,"1994-07-02","Giant"
"Pumps And A Bump","M.C. Hammer",9,"1994-07-09","Giant"
"Born To Roll","Masta Ace Incorporated",21,"1994-07-09","Delicious Vinyl"
"Take It Easy","Mad Lion",23,"1994-07-09","Weeded"
"It's All Good","M.C. Hammer",45,"1994-07-09","Giant"
"Late Nite Creep (Booty Call)","M.C. Breed",49,"1994-07-09","Wrap"
"Pumps And A Bump","M.C. Hammer",15,"1994-07-16","Giant"
"Take It Easy","Mad Lion",19,"1994-07-16","Weeded"
"Born To Roll","Masta Ace Incorporated",26,"1994-07-16","Delicious Vinyl"
"Don't Stop","M.C. Hammer",35,"1994-07-16","Giant"
"It's All Good","M.C. Hammer",46,"1994-07-16","Giant"
"Pumps And A Bump","M.C. Hammer",15,"1994-07-23","Giant"
"Take It Easy","Mad Lion",22,"1994-07-23","Weeded"
"Born To Roll","Masta Ace Incorporated",25,"1994-07-23","Delicious Vinyl"
"Don't Stop","M.C. Hammer",33,"1994-07-23","Giant"
"Late Nite Creep (Booty Call)","M.C. Breed",47,"1994-07-23","Wrap"
"Take It Easy","Mad Lion",15,"1994-07-30","Weeded"
"Pumps And A Bump","M.C. Hammer",22,"1994-07-30","Giant"
"Born To Roll","Masta Ace Incorporated",31,"1994-07-30","Delicious Vinyl"
"Don't Stop","M.C. Hammer",43,"1994-07-30","Giant"
"Late Nite Creep (Booty Call)","M.C. Breed",48,"1994-07-30","Wrap"
"Take It Easy","Mad Lion",15,"1994-08-06","Weeded"
"Pumps And A Bump","M.C. Hammer",21,"1994-08-06","Giant"
"Born To Roll","Masta Ace Incorporated",32,"1994-08-06","Delicious Vinyl"
"Don't Stop","M.C. Hammer",38,"1994-08-06","Giant"
"Take It Easy","Mad Lion",11,"1994-08-13","Weeded"
"Pumps And A Bump","M.C. Hammer",30,"1994-08-13","Giant"
"Don't Stop","M.C. Hammer",33,"1994-08-13","Giant"
"Born To Roll","Masta Ace Incorporated",41,"1994-08-13","Delicious Vinyl"
"Late Nite Creep (Booty Call)","M.C. Breed",43,"1994-08-13","Wrap"
"Take It Easy","Mad Lion",19,"1994-08-20","Weeded"
"Pumps And A Bump","M.C. Hammer",25,"1994-08-20","Giant"
"Don't Stop","M.C. Hammer",41,"1994-08-20","Giant"
"Late Nite Creep (Booty Call)","M.C. Breed",45,"1994-08-20","Wrap"
"Born To Roll","Masta Ace Incorporated",47,"1994-08-20","Delicious Vinyl"
"Take It Easy","Mad Lion",16,"1994-08-27","Weeded"
"Pumps And A Bump","M.C. Hammer",34,"1994-08-27","Giant"
"Don't Stop","M.C. Hammer",37,"1994-08-27","Giant"
"Take It Easy","Mad Lion",17,"1994-09-03","Weeded"
"Pumps And A Bump","M.C. Hammer",36,"1994-09-03","Giant"
"Don't Stop","M.C. Hammer",44,"1994-09-03","Giant"
"Born To Roll","Masta Ace Incorporated",50,"1994-09-03","Delicious Vinyl"
"Take It Easy","Mad Lion",11,"1994-09-10","Weeded"
"Don't Stop","M.C. Hammer",46,"1994-09-10","Giant"
"Pumps And A Bump","M.C. Hammer",49,"1994-09-10","Giant"
"Take It Easy","Mad Lion",8,"1994-09-17","Weeded"
"Pumps And A Bump","M.C. Hammer",47,"1994-09-17","Giant"
"Don't Stop","M.C. Hammer",50,"1994-09-17","Giant"
"Take It Easy","Mad Lion",10,"1994-09-24","Weeded"
"Pumps And A Bump","M.C. Hammer",49,"1994-09-24","Giant"
"Take It Easy","Mad Lion",8,"1994-10-01","Weeded"
"Pumps And A Bump","M.C. Hammer",47,"1994-10-01","Giant"
"Take It Easy","Mad Lion",5,"1994-10-08","Weeded"
"Take It Easy","Mad Lion",6,"1994-10-15","Weeded"
"Take It Easy","Mad Lion",8,"1994-10-22","Weeded"
"Take It Easy","Mad Lion",10,"1994-10-29","Weeded"
"Take It Easy","Mad Lion",12,"1994-11-05","Weeded"
"Bring The Pain","Method Man",6,"1994-11-12","Def Jam"
"Take It Easy","Mad Lion",13,"1994-11-12","Weeded"
"Bring The Pain","Method Man",8,"1994-11-19","Def Jam"
"Take It Easy","Mad Lion",15,"1994-11-19","Weeded"
"Bring The Pain","Method Man",8,"1994-11-26","Def Jam"
"Take It Easy","Mad Lion",15,"1994-11-26","Weeded"
"Bring The Pain","Method Man",8,"1994-12-03","Def Jam"
"Take It Easy","Mad Lion",15,"1994-12-03","Weeded"
"Bring The Pain","Method Man",7,"1994-12-10","Def Jam"
"Take It Easy","Mad Lion",17,"1994-12-10","Weeded"
"Bring The Pain","Method Man",6,"1994-12-17","Def Jam"
"Take It Easy","Mad Lion",18,"1994-12-17","Weeded"
"Bring The Pain","Method Man",4,"1994-12-24","Def Jam"
"Take It Easy","Mad Lion",16,"1994-12-24","Weeded"
"Bring The Pain","Method Man",4,"1994-12-31","Def Jam"
"Take It Easy","Mad Lion",17,"1994-12-31","Weeded"
"Bring The Pain","Method Man",4,"1995-01-07","Def Jam"
"Take It Easy","Mad Lion",16,"1995-01-07","Weeded"
"Bring The Pain","Method Man",5,"1995-01-14","Def Jam"
"Take It Easy","Mad Lion",14,"1995-01-14","Weeded"
"Bring The Pain","Method Man",7,"1995-01-21","Def Jam"
"Take It Easy","Mad Lion",32,"1995-01-21","Weeded"
"Bring The Pain","Method Man",8,"1995-01-28","Def Jam"
"Take It Easy","Mad Lion",19,"1995-01-28","Weeded"
"Bring The Pain","Method Man",8,"1995-02-04","Def Jam"
"Take It Easy","Mad Lion",31,"1995-02-04","Weeded"
"Money, Houses & Clothes","Mel-Low",47,"1995-02-04","Def Jam"
"Bring The Pain","Method Man",10,"1995-02-11","Def Jam"
"Take It Easy","Mad Lion",29,"1995-02-11","Weeded"
"Bring The Pain","Method Man",7,"1995-02-18","Def Jam"
"Release Yo' Delf","Method Man",28,"1995-02-18","Def Jam"
"Take It Easy","Mad Lion",36,"1995-02-18","Weeded"
"Bring The Pain","Method Man",12,"1995-02-25","Def Jam"
"Release Yo' Delf","Method Man",30,"1995-02-25","Def Jam"
"Take It Easy","Mad Lion",43,"1995-02-25","Weeded"
"Bring The Pain","Method Man",16,"1995-03-04","Def Jam"
"Release Yo' Delf","Method Man",37,"1995-03-04","Def Jam"
"Take It Easy","Mad Lion",41,"1995-03-04","Weeded"
"Bring The Pain","Method Man",21,"1995-03-11","Def Jam"
"Take It Easy","Mad Lion",43,"1995-03-11","Weeded"
"Release Yo' Delf","Method Man",47,"1995-03-11","Def Jam"
"Bring The Pain","Method Man",22,"1995-03-18","Def Jam"
"Release Yo' Delf","Method Man",46,"1995-03-18","Def Jam"
"Take It Easy","Mad Lion",50,"1995-03-18","Weeded"
"Bring The Pain","Method Man",24,"1995-03-25","Def Jam"
"Take It Easy","Mad Lion",48,"1995-03-25","Weeded"
"Bring The Pain","Method Man",29,"1995-04-01","Def Jam"
