"Title","Artist","Rank","Chart Date","Imprint"
"Bitch Betta Have My Money","AMG",19,"1991-08-31","Select"
"Pop Goes The Weasel","3rd Bass",24,"1991-08-31","Def Jam"
"Bitch Betta Have My Money","AMG",21,"1991-09-07","Select"
"Definition Of A King","2 Kings In A Cipher",27,"1991-09-07","Bahia"
"Definition Of A King","2 Kings In A Cipher",25,"1991-09-14","Bahia"
"Bitch Betta Have My Money","AMG",26,"1991-09-14","Select"
"Definition Of A King","2 Kings In A Cipher",17,"1991-09-21","Bahia"
"Bitch Betta Have My Money","AMG",25,"1991-09-21","Select"
"Definition Of A King","2 Kings In A Cipher",16,"1991-09-28","Bahia"
"Bitch Betta Have My Money","AMG",27,"1991-09-28","Select"
"4 The Funk of It","Above The Law",29,"1991-09-28","Ruthless"
"Definition Of A King","2 Kings In A Cipher",11,"1991-10-05","Bahia"
"4 The Funk of It","Above The Law",24,"1991-10-05","Ruthless"
"Check The Rhime","A Tribe Called Quest",27,"1991-10-05","Jive"
"Bitch Betta Have My Money","AMG",30,"1991-10-05","Select"
"Check The Rhime","A Tribe Called Quest",11,"1991-10-12","Jive"
"Definition Of A King","2 Kings In A Cipher",15,"1991-10-12","Bahia"
"4 The Funk of It","Above The Law",24,"1991-10-12","Ruthless"
"Check The Rhime","A Tribe Called Quest",7,"1991-10-19","Jive"
"Definition Of A King","2 Kings In A Cipher",15,"1991-10-19","Bahia"
"4 The Funk of It","Above The Law",23,"1991-10-19","Ruthless"
"Check The Rhime","A Tribe Called Quest",5,"1991-10-26","Jive"
"4 The Funk of It","Above The Law",21,"1991-10-26","Ruthless"
"Definition Of A King","2 Kings In A Cipher",30,"1991-10-26","Bahia"
"Check The Rhime","A Tribe Called Quest",4,"1991-11-02","Jive"
"4 The Funk of It","Above The Law",21,"1991-11-02","Ruthless"
"Across The 110","2 Black 2 Strong MMG",27,"1991-11-02","Relativity"
"Check The Rhime","A Tribe Called Quest",4,"1991-11-09","Jive"
"4 The Funk of It","Above The Law",29,"1991-11-09","Ruthless"
"Across The 110","2 Black 2 Strong MMG",30,"1991-11-09","Relativity"
"Check The Rhime","A Tribe Called Quest",2,"1991-11-16","Jive"
"Across The 110","2 Black 2 Strong MMG",26,"1991-11-16","Relativity"
"Check The Rhime","A Tribe Called Quest",2,"1991-11-23","Jive"
"Across The 110","2 Black 2 Strong MMG",29,"1991-11-23","Relativity"
